,district,area,year,rooms,value,floor,elevator,parking,warehouse
1254, اختیاریه,۱۴۱,۱۴۰۱,۳,۱۳٬۶۰۰٬۰۰۰٬۰۰۰,۱ از ۵,"(True,)","(True,)",True
1255, دروس ,۶۰,۱۴۰۱,۲,۷٬۶۷۰٬۰۰۰٬۰۰۰,۱ از ۵,"(True,)","(True,)",True
1256, قیطریه,۱۴۰,۱۳۹۱,۳,۱۲٬۰۰۰٬۰۰۰٬۰۰۰,۳ از ۵,"(True,)","(True,)",True
1257, ولنجک ,۲۶۶,۱۳۹۶,۴,۴۹٬۲۱۰٬۰۰۰٬۰۰۰,۷,"(True,)","(True,)",True
1258, زعفرانیه ,۲۰۰,۱۴۰۰,۳,۳۵٬۰۰۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
1259, ولنجک ,۱۴۸,۱۴۰۰,۳,۲۰٬۵۵۰٬۰۰۰٬۰۰۰,۲,"(True,)","(True,)",True
1260, فلاح ,۵۵,۱۳۹۲,۲,۱٬۸۲۶٬۰۰۰٬۰۰۰,۳ از ۴,False,False,False
1261, چیتگر ,۷۴,۱۴۰۱,۱,۱٬۲۲۰٬۰۰۰٬۰۰۰,۸,"(True,)","(True,)",True
1262, دیلمان ,۱۰۰,۱۳۹۸,۲,۳٬۱۰۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
1263, سلسبیل,۹۰,۱۳۹۰,۲,۳٬۱۷۰٬۰۰۰٬۰۰۰,۲,False,"(True,)",True
1264, سرتخت ,۱۰۰,۱۳۷۷,۲,۲٬۰۰۰٬۰۰۰٬۰۰۰,۴,False,"(True,)",True
1265, پاسداران ,۱۸۱,۱۴۰۱,۳,۱۴٬۵۰۰٬۰۰۰٬۰۰۰,۱۱,"(True,)","(True,)",True
1266, کامرانیه ,۴۰۰,۱۳۹۶,۴,۷۵٬۰۰۰٬۰۰۰٬۰۰۰,۶ از ۱۵,"(True,)","(True,)",True
1267, دیلمان ,۱۲۳,۱۴۰۱,۳,۶٬۳۹۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
1268, مرزداران ,۱۰۹,۱۳۸۶,۳,۷٬۴۵۰٬۰۰۰٬۰۰۰,۵ از ۶,"(True,)","(True,)",True
1269, ستارخان,۱۰۱,۱۳۷۵,۲,۶٬۰۰۰٬۰۰۰٬۰۰۰,۲,False,False,False
