date,district,area,year,room,floor,evelator,parking,warehouse,value,type
1401/04/07,شهران شمالی بالاتر از نیما یوشیج,81,16,2,4,"شوفاژ,کولر,آسانسور",yes,yes,3830000000,آپارتمان
1401/04/08,سراج نرسیده به كوی شهبازی نژاد,50,نوساز,1,3,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,2300000000,آپارتمان
1401/04/08,هنگام الغدیر,55,15,1,زیرهمكف,"کولر,گاز",,,690000000,آپارتمان
1401/05/29,هنگام بالاتراز سازمان آب,78,9,3,3,"شوفاژ,کولر,آسانسور,پکیج,گاز",,yes,2600000000,آپارتمان
1401/09/09,بزرگراه بابائی شهرك بهشتی,95,نوساز,2,8,"شوفاژ,کولر,آسانسور,گاز",yes,yes,4000000000,آپارتمان
1401/04/08,تهرانپارس بلوار پروین,51,25,1,1,"کولر,گاز",yes,yes,1900000000,آپارتمان
1401/08/21,هروی حسین آباد,193,15,3,3,"شوفاژ,کولر,آسانسور,گاز",yes,yes,16405000000,آپارتمان
1401/04/08,تهرانپارس فلكه اول,165,10,3,1,"شوفاژ,کولر,آسانسور,گاز",yes,yes,9500000000,آپارتمان
1401/09/15,كریم خان خ آبان,156,20,3,2,"شوفاژ,کولر,گاز",yes,yes,6800000000,آپارتمان
1401/08/21,تهرانپارس میدان پروین,59,30,1,4,"شوفاژ,کولر,گاز",,yes,2000000000,آپارتمان
1401/05/24,دولت خ محسنیان,152,18,3,1,"شوفاژ,کولر,آسانسور,گاز",yes,yes,11400000000,آپارتمان
1401/08/19,بزرگراه باقری جنوب بین اردیبهشت شمالی و باقری,81,9,2,1,"شوفاژ,کولر,آسانسور,گاز",,yes,3200000000,آپارتمان
1401/09/03,اتوبان بابایی شهرك بهشتی,87,نوساز,2,12,"کولر,آسانسور,گاز",yes,yes,4437000000,آپارتمان
1401/09/23,سعادت آباد شهرك بام تهران,140,12,3,11,"کولر,آسانسور,گاز",yes,yes,11200000000,آپارتمان
