,district,area,year,rooms,value,floor,elevator,parking,warehouse
17760, شهران شمالی ,105,1401,2,6500000000,2,True,True,True
17761, شهران جنوبی ,110,1397,2,6900000000,3,True,True,True
17762, شهران جنوبی,115,1395,3,6800000000,4,True,True,True
17763, کوی فردوس ,50,1391,1,3850000000,3,True,True,True
17764, تسلیحات,63,1394,2,2550000000,3,True,True,False
17765, دریاچه شهدای خلیج فارس ,85,1401,2,2635000000,12,True,True,True
17766, نیاوران ,250,1400,4,45000000000,3,True,True,True
17767, دریاچه شهدای خلیج فارس ,105,1400,2,6000000000,1,True,True,True
17768, اقدسیه ,140,1382,3,10400000000,2,True,True,True
17769, تهرانپارس غربی ,220,1385,3,14300000000,4,True,True,True
17770, تهرانپارس غربی ,108,1382,2,7870000000,5,True,True,True
17771, تهرانپارس غربی ,135,1401,3,15000000000,5,True,True,True
17772, کوی فردوس ,72,1386,2,3950000000,2,True,True,True
17773, جردن ,240,1371,3,16000000000,3,True,True,True
17774, قیطریه ,170,1396,3,15300000000,4,True,True,True
17775, جنت‌آباد جنوبی ,55,1387,1,3556000000,1,True,True,True
17776, دریاچه شهدای خلیج فارس ,104,1396,2,4930000000,14,True,True,True
17777, حکیمیه ,128,1401,3,6500000000,5,True,True,True
17778, سعادت‌آباد ,130,1401,2,17940000000,3,True,True,True
17779, سعادت‌آباد ,200,1400,3,28000000000,5,True,True,True
17780, سعادت‌آباد ,280,1399,4,50400000000,6,True,True,True
17781, سعادت‌آباد ,170,1399,3,25160000000,3,True,True,True
17782, سعادت‌آباد ,240,1401,3,48000000000,4,True,True,True
17783, سعادت‌آباد ,145,1401,3,21460000000,3,True,True,True
17784, ظفر ,117,1397,2,10300000000,5,True,True,True
17785, سهروردی ,130,1390,3,9000000000,2,True,True,True
17786, سعادت‌آباد ,130,1383,2,10000000000,10,True,True,True
17787, سعادت‌آباد ,141,1385,3,12000000000,3,True,True,True
17788, سعادت‌آباد ,130,1394,3,15000000000,2,True,True,True
17789, جنت‌آباد مرکزی ,115,1390,2,6150000000,2,True,True,True
17790, جلفا ,126,1400,3,9000000000,3,True,True,True
17791, شهران شمالی ,60,1388,1,3750000000,3,True,True,True
17792, فرمانیه ,247,1396,3,34000000000,3,True,True,True
17793, میرداماد ,170,1401,3,17000000000,3,True,True,True
17794, باغ فیض ,59,1397,2,4300000000,5,True,True,True
17795, جنت‌آباد جنوبی ,114,1389,2,7590000000,4,True,True,True
17796, سازمان برنامه ,149,1400,3,11600000000,5,True,True,True
17797, سهروردی ,112,1395,2,9200000000,3,True,True,True
17798, سهروردی ,135,1401,3,13500000000,5,True,True,True
17799, سهروردی ,110,1395,2,9500000000,4,True,True,True
17800, ستارخان ,130,1401,3,8200000000,5,True,True,True
17801,1370,1370,1370,1370,1370,1370,True,True,True
17802, آذربایجان ,42,1383,1,1870000000,2,True,True,False
17803, میرداماد ,112,1399,2,14500000000,2,True,True,True
17804, اختیاریه ,50,1386,1,3950000000,2,True,True,False
17805, دریاچه شهدای خلیج فارس ,145,1397,2,6900000000,2,True,True,True
17806, قلهک ,58,1400,1,5850000000,2,True,True,True
17807, پونک ,56,1386,1,3920000000,1,True,True,True
17808, ظفر ,164,1386,3,12300000000,2,True,True,True
